TWS_WORKSTATION_NAME,TWS_BATCH_NAME,SUCCESSOR_TWS_WORKSTATION_NAME,SUCCESSOR_TWS_BATCH_NAME,SUCCESSOR_TWS_JOB_NAME
RDWETLPRD,BPW199SC_RS3,RDWETLPRD,BPW199SC_RS2,
RDWETLPRD,BPW199SC_RS3,RDWETLPRD,SUN199SC_RTL,
RDWETLPRD,STGEXPORT010SC,RDWETLPRD,STGEODBATCH,
RDWETLPRD,BIR_END_DAILY,RDWETLPRD,BIR_TRG_DLY,
RDWETLPRD,BIR_END_DAILY,RDWETLPRD,BPW000SC_RS1,
RDWETLPRD,CLS_STG15_DLY,RDWETLPRD,CLS_TRG_DLY,
RDWETLPRD,RACT_STGRECON_C1,RDWETLPRD,RACT_STGRECON_C2,
RDWETLPRD,RACT_STGRECON_C1,RDWETLPRD,RECS_HK_MLY,
RDWETLPRD,MPD199SC,RDWETLPRD,DPD010SC_RS2,
RDWETLPRD,MPD199SC,RDWETLPRD,MPDEODBATCH,
RDWETLPRD,MPD199SC,RDWETLPRD,DPD010SC_RS1,
RDWETLPRD,MLC010SC_STG5,RDWETLPRD,MLC010SC_STG3,
RDWETLPRD,CAP010SC_STG,RDWETLPRD,CON_ARR_CAP_DLY,
RDWETLPRD,MRT010SC_STG22A,RDWETLPRD,RAYEODBAT_LCDNCF,
RDWETLPRD,MRT010SC_STG22A,RDWETLPRD,MRT010SC_STG33A,
RDWETLPRD,IRD010SC_STG3,RDWETLPRD,WIDI010SC_EXT3,
RDWETLPRD,MRT027SC,RDWETLPRD,MRTEODBATCH,
RDWETLPRD,ECL010SC_STG11,RDWETLPRD,ECL010SC_STG75,
RDWETLPRD,ECL010SC_STG11,RDWETLPRD,ECLEODBATCH,
RDWETLPRD,SUP_STG5_DLY,RDWETLPRD,SUP_TRG_DLY,
RDWETLPRD,RADS010SC_STG13,RDWETLPRD,RADSEODBATCH,
RDWETLPRD,MIF_STG9_DLY,RDWETLPRD,MIF_TRG_DLY,
RDWETLPRD,COGC010SC_FIT,RDWETLPRD,CONPARTYFIT_DLY,
RDWETLPRD,ECL010SC_STG45,RDWETLPRD,ECL010SC_STG77,
RDWETLPRD,ECL010SC_STG45,RDWETLPRD,ECLEODBATCH_2,
RDWETLPRD,SCB_STG3_DLY,RDWETLPRD,SCB_TRG_DLY,
RDWETLPRD,IAS103SC_ED1,RDWETLPRD,IASEODBATCH,
RDWETLPRD,BRE_STG2_DLY,RDWETLPRD,BRE_TRG_DLY,
RDWETLPRD,CONPARTYMDY_DLY,RDWETLPRD,COGC010SC_MDY,
RDWETLPRD,MRT010SC_STG20A,RDWETLPRD,RAYEODBAT_LCDNCF,
RDWETLPRD,MRT010SC_STG20A,RDWETLPRD,MRT010SC_STG33A,
RDWETLPRD,CON_PROV_ECL_DLY,RDWETLPRD,CON_PRV2_ECL_DLY,
RDWETLPRD,PKI010SC,RDWETLPRD,PKIEODBATCH,
RDWETLPRD,CMD010SC_HDSCA,RDWETLPRD,IFCH_RDW_DLY,
RDWETLPRD,ECL010SC_STG31,RDWETLPRD,ECL010SC_STG77,
RDWETLPRD,ECL010SC_STG31,RDWETLPRD,ECLEODBATCH,
RDWETLPRD,MIH_HDS1_DLY,RDWETLPRD,MIH_TRG_DLY,
RDWETLPRD,ORM_STG1_DLY,RDWETLPRD,ORMEODBATCH,
RDWETLPRD,MIH_STG5_DLY,RDWETLPRD,MIH_TRG_DLY,
RDWETLPRD,RAY_ASIA_MLY,RDWETLPRD,RAY_LD_WD6_MLY,
RDWETLPRD,SIR_STG5_DLY,RDWETLPRD,SIR_TRG_DLY,
RDWETLPRD,SIR_STG5_DLY,RDWETLPRD,SIREODBATCH,
RDWETLPRD,ACN010SC_STG6,RDWETLPRD,ACBSUSEDBTCH_LCD,
RDWETLPRD,ACN010SC_STG6,RDWETLPRD,ACBSUSEODBATCH,
RDWETLPRD,ACN010SC_STG6,RDWETLPRD,ACN010SC_STG7,
RDWETLPRD,SPF010SC_MRT,RDWETLPRD,SPF115SC_MRT,
RDWETLPRD,SPF010SC_MRT,RDWETLPRD,SPF010SC_MR2,
RDWETLPRD,SPF010SC_MRT,RDWETLPRD,SPFEODBATCH,
RDWETLPRD,SPF010SC_MRT,RDWETLPRD,SPF130SC_MRT,
RDWETLPRD,RECS_DUN1_DLY,RDWETLPRD,RECS_DUN_DLY,
RDWETLPRD,RAY_CON_PER_MLY,RDWETLPRD,RAY_LD_WD5_MLY,
RDWETLPRD,FBS010SC_STG2,RDWETLPRD,FBS010SC_STG3,
RDWETLPRD,EM_STG13_DLY,RDWETLPRD,EM_TRG_DLY,
RDWETLPRD,RAY_PRV_STG3_MLY,RDWETLPRD,RAY_LD_WD6_MLY,
RDWETLPRD,CON_MIG_ACCOUNT,RDWETLPRD,CON_ACC_ONEOFF,
RDWETLPRD,PILFOURTHWDBKP,RDWETLPRD,PILEODBATCH,
RDWETLPRD,FIMMIGONEOFF,RDWETLPRD,FIM010SC,
RDWETLPRD,MIH_STG6_DLY,RDWETLPRD,MIH_TRG_DLY,
RDWETLPRD,IAS199SC_CH1,RDWETLPRD,IASEODBATCH,
